Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
"KSTC-1446 24/60.5cm (1920x1080) iiyama ProLite T2454MSC-B1AG 16:9 5ms Touchscreen VGA USB HDMI VESA Speaker Full HD Black","24/60.5cm (1920x1080) iiyama ProLite T2454MSC-B1AG 16:9 5ms Touchscreen VGA USB HDMI VESA Speaker Full HD Black","24/60.5cm (1920x1080) iiyama ProLite T2454MSC-B1AG 16:9 5ms Touchscreen VGA USB HDMI VESA Speaker Full HD Black","iiyama","Electronics","Displays","Displays,Monitore",TRUE,,,,,,,"KSTC-1446",,shopify,11,deny,manual,471.56,,TRUE,TRUE,4948570116416,https://cdn.kosatec.de/media/image/e6/ff/b3/1446.jpg,1,,FALSE,"24/60.5cm (1920x1080) iiyama ProLite T2454MSC-B1AG 16:9 5ms Touchscreen VGA USB HDMI VESA Speaker Full HD Black","24/60.5cm (1920x1080) iiyama ProLite T2454MSC-B1AG 16:9 5ms Touchscreen VGA USB HDMI VESA Speaker Full HD Black","Electronics",,,,,,,FALSE,,,,,,,,,,,,active
"KSTC-144669 Tandberg RDX extern QuikStor USB 3.0","Tandberg RDX extern QuikStor USB 3.0","Tandberg RDX extern QuikStor USB 3.0","Tandberg Data","Electronics","Laufwerke","Laufwerke,Streamer",TRUE,,,,,,,"KSTC-144669",,shopify,42,deny,manual,259.36,,TRUE,TRUE,7050771087826,https://cdn.kosatec.de/media/image/8c/ac/b1/144669.jpg,1,,FALSE,"Tandberg RDX extern QuikStor USB 3.0","Tandberg RDX extern QuikStor USB 3.0","Electronics",,,,,,,FALSE,,,,,,,,,,,,active
"KSTC-1447 KONF Logitech PTZ PRO 2 Black - Grey 30fps","KONF Logitech PTZ PRO 2 Black - Grey 30fps","KONF Logitech PTZ PRO 2 Black - Grey 30fps","Logitech","Electronics","Multimedia","Multimedia,Konferenzsysteme",TRUE,,,,,,,"KSTC-1447",,shopify,5,deny,manual,623.31,,TRUE,TRUE,5099206070455,https://cdn.kosatec.de/media/image/3f/e4/94/1447.jpg,1,,FALSE,"KONF Logitech PTZ PRO 2 Black - Grey 30fps","KONF Logitech PTZ PRO 2 Black - Grey 30fps","Electronics",,,,,,,FALSE,,,,,,,,,,,,active
"KSTC-145541 1TB Seagate Barracuda ST1000DM010 7200RPM 64MB","1TB Seagate Barracuda ST1000DM010 7200RPM 64MB","1TB Seagate Barracuda ST1000DM010 7200RPM 64MB","Seagate","Electronics","Festplatten","Festplatten,Interne Festplatten",TRUE,,,,,,,"KSTC-145541",,shopify,300,deny,manual,60.14,,TRUE,TRUE,3660619402182,https://cdn.kosatec.de/media/image/8c/c8/c2/145541_600x600.jpg,1,,FALSE,"1TB Seagate Barracuda ST1000DM010 7200RPM 64MB","1TB Seagate Barracuda ST1000DM010 7200RPM 64MB","Electronics",,,,,,,FALSE,,,,,,,,,,,,active
"KSTC-146732 TON HP Toner 410A CF412A Gelb","TON HP Toner 410A CF412A Gelb","TON HP Toner 410A CF412A Gelb","HP","Electronics","Verbrauchsmaterialien","Verbrauchsmaterialien,Toner",TRUE,,,,,,,"KSTC-146732",,shopify,11,deny,manual,175.60,,TRUE,TRUE,0888793807521,https://cdn.kosatec.de/media/image/10/b5/6e/146732.jpg,1,,FALSE,"TON HP Toner 410A CF412A Gelb","TON HP Toner 410A CF412A Gelb","Electronics",,,,,,,FALSE,,,,,,,,,,,,active
"KSTC-148738 TON Brother Toner TN-423M Magenta bis zu 4.000 Seiten nach ISO 19798","TON Brother Toner TN-423M Magenta bis zu 4.000 Seiten nach ISO 19798","TON Brother Toner TN-423M Magenta bis zu 4.000 Seiten nach ISO 19798","Brother","Electronics","Verbrauchsmaterialien","Verbrauchsmaterialien,Toner",TRUE,,,,,,,"KSTC-148738",,shopify,97,deny,manual,202.01,,TRUE,TRUE,4977766771696,https://cdn.kosatec.de/media/image/2d/c5/94/148738.jpg,1,,FALSE,"TON Brother Toner TN-423M Magenta bis zu 4.000 Seiten nach ISO 19798","TON Brother Toner TN-423M Magenta bis zu 4.000 Seiten nach ISO 19798","Electronics",,,,,,,FALSE,,,,,,,,,,,,active
"KSTC-149371 Evoluent Vertical Mouse 4 right hand/6 buttons/wired","Evoluent Vertical Mouse 4 right hand/6 buttons/wired","Evoluent Vertical Mouse 4 right hand/6 buttons/wired","Evoluent","Electronics","Eingabegeräte","Eingabegeräte,Mäuse",TRUE,,,,,,,"KSTC-149371",,shopify,54,deny,manual,116.67,,TRUE,TRUE,0852153014119,https://cdn.kosatec.de/media/image/37/67/6c/149371_600x600.jpg,1,,FALSE,"Evoluent Vertical Mouse 4 right hand/6 buttons/wired","Evoluent Vertical Mouse 4 right hand/6 buttons/wired","Electronics",,,,,,,FALSE,,,,,,,,,,,,active
"KSTC-150212 KVM Cable Switch 2xKVM 4xUSB 2xVGA ATEN Black","KVM Cable Switch 2xKVM 4xUSB 2xVGA ATEN Black","KVM Cable Switch 2xKVM 4xUSB 2xVGA ATEN Black","ATEN","Electronics","Kabel & Adapter","Kabel & Adapter,Computer",TRUE,,,,,,,"KSTC-150212",,shopify,13,deny,manual,32.80,,TRUE,TRUE,4710423775978,https://cdn.kosatec.de/media/image/c5/f1/00/150212_600x600.jpg,1,,FALSE,"KVM Cable Switch 2xKVM 4xUSB 2xVGA ATEN Black","KVM Cable Switch 2xKVM 4xUSB 2xVGA ATEN Black","Electronics",,,,,,,FALSE,,,,,,,,,,,,active
"KSTC-150279 Printserver DIGITUS DN-13020 USB 2.0 Multifunction Network Server","Printserver DIGITUS DN-13020 USB 2.0 Multifunction Network Server","Printserver DIGITUS DN-13020 USB 2.0 Multifunction Network Server","Digitus","Electronics","Netzwerk","Netzwerk,Netzwerkartikel",TRUE,,,,,,,"KSTC-150279",,shopify,2,deny,manual,85.18,,TRUE,TRUE,4016032292913,https://cdn.kosatec.de/media/image/a5/a9/41/150279.jpg,1,,FALSE,"Printserver DIGITUS DN-13020 USB 2.0 Multifunction Network Server","Printserver DIGITUS DN-13020 USB 2.0 Multifunction Network Server","Electronics",,,,,,,FALSE,,,,,,,,,,,,active
"KSTC-151199 TRO Brother Trommeleinheit DR-320CL bis zu 25.000 Seiten","TRO Brother Trommeleinheit DR-320CL bis zu 25.000 Seiten","TRO Brother Trommeleinheit DR-320CL bis zu 25.000 Seiten","Brother","Electronics","Verbrauchsmaterialien","Verbrauchsmaterialien,Toner",TRUE,,,,,,,"KSTC-151199",,shopify,5,deny,manual,215.04,,TRUE,TRUE,4977766679466,https://cdn.kosatec.de/media/image/ef/12/ed/151199dzthxTkObr8HQ.jpg,1,,FALSE,"TRO Brother Trommeleinheit DR-320CL bis zu 25.000 Seiten","TRO Brother Trommeleinheit DR-320CL bis zu 25.000 Seiten","Electronics",,,,,,,FALSE,,,,,,,,,,,,active
