Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
"ECOM-71875 ASUS PRIME B760M-K D4 (1700) (D)","ASUS PRIME B760M-K D4 (1700) (D)","ASUS PRIME B760M-K D4 (1700) (D)","ASUS","Electronics","Motherboard ASUS","Electronics,Motherboard ASUS",TRUE,,,,,,,"ECOM-71875",,shopify,35,deny,manual,152.78,,TRUE,TRUE,4711387006917,https://www.nexoc-store.de/shop/media/image/99/8e/ed/71875_1_600x600..jpg,1,,FALSE,"ASUS PRIME B760M-K D4 (1700) (D)","ASUS PRIME B760M-K D4 (1700) (D)","Electronics",,,,,,,FALSE,,,,,,,,,,,,active
"ECOM-71866 ASUS PRIME B760-Plus D4 (1700) (D)","ASUS PRIME B760-Plus D4 (1700) (D)","ASUS PRIME B760-Plus D4 (1700) (D)","ASUS","Electronics","Motherboard ASUS","Electronics,Motherboard ASUS",TRUE,,,,,,,"ECOM-71866",,shopify,34,deny,manual,181.13,,TRUE,TRUE,4711081970309,https://www.nexoc-store.de/shop/media/image/c9/0a/25/71866_1_600x600..jpg,1,,FALSE,"ASUS PRIME B760-Plus D4 (1700) (D)","ASUS PRIME B760-Plus D4 (1700) (D)","Electronics",,,,,,,FALSE,,,,,,,,,,,,active
"ECOM-60396 ASUS PRIME H510M-D (1200) (D)","ASUS PRIME H510M-D (1200) (D)","ASUS PRIME H510M-D (1200) (D)","ASUS","Electronics","Motherboard ASUS","Electronics,Motherboard ASUS",TRUE,,,,,,,"ECOM-60396",,shopify,100,deny,manual,98.60,,TRUE,TRUE,4711081127468,https://www.nexoc-store.de/shop/media/image/61/f3/23/60396_0_600x600.jpg,1,,FALSE,"ASUS PRIME H510M-D (1200) (D)","ASUS PRIME H510M-D (1200) (D)","Electronics",,,,,,,FALSE,,,,,,,,,,,,active
"ECOM-61394 ASUS PRIME H510M-K (1200) (D)","ASUS PRIME H510M-K (1200) (D)","ASUS PRIME H510M-K (1200) (D)","ASUS","Electronics","Motherboard ASUS","Electronics,Motherboard ASUS",TRUE,,,,,,,"ECOM-61394",,shopify,16,deny,manual,80.96,,TRUE,TRUE,4711081152132,https://www.nexoc-store.de/shop/media/image/93/77/ec/61394_0_600x600.jpg,1,,FALSE,"ASUS PRIME H510M-K (1200) (D)","ASUS PRIME H510M-K (1200) (D)","Electronics",,,,,,,FALSE,,,,,,,,,,,,active
"ECOM-69343 ASUS PRIME H610I-PLUS D4-CSM (1700) (D)","ASUS PRIME H610I-PLUS D4-CSM (1700) (D)","ASUS PRIME H610I-PLUS D4-CSM (1700) (D)","ASUS","Electronics","Motherboard ASUS","Electronics,Motherboard ASUS",TRUE,,,,,,,"ECOM-69343",,shopify,2,deny,manual,143.71,,TRUE,TRUE,4711081755753,https://www.nexoc-store.de/shop/media/image/33/72/66/69343_1_600x600..jpg,1,,FALSE,"ASUS PRIME H610I-PLUS D4-CSM (1700) (D)","ASUS PRIME H610I-PLUS D4-CSM (1700) (D)","Electronics",,,,,,,FALSE,,,,,,,,,,,,active
"ECOM-66650 ASUS PRIME H610M-A D4-CSM (1700) (D)","ASUS PRIME H610M-A D4-CSM (1700) (D)","ASUS PRIME H610M-A D4-CSM (1700) (D)","ASUS","Electronics","Motherboard ASUS","Electronics,Motherboard ASUS",TRUE,,,,,,,"ECOM-66650",,shopify,20,deny,manual,120.02,,TRUE,TRUE,4711081514442,https://www.nexoc-store.de/shop/media/image/2b/75/22/66650_1_600x600..jpg,1,,FALSE,"ASUS PRIME H610M-A D4-CSM (1700) (D)","ASUS PRIME H610M-A D4-CSM (1700) (D)","Electronics",,,,,,,FALSE,,,,,,,,,,,,active
"ECOM-69340 ASUS PRIME H610M-A WIFI D4(1700) (D)","ASUS PRIME H610M-A WIFI D4(1700) (D)","ASUS PRIME H610M-A WIFI D4(1700) (D)","ASUS","Electronics","Motherboard ASUS","Electronics,Motherboard ASUS",TRUE,,,,,,,"ECOM-69340",,shopify,10,deny,manual,133.25,,TRUE,TRUE,4711081758211,https://www.nexoc-store.de/shop/media/image/8f/05/73/69340_1_600x600..jpg,1,,FALSE,"ASUS PRIME H610M-A WIFI D4(1700) (D)","ASUS PRIME H610M-A WIFI D4(1700) (D)","Electronics",,,,,,,FALSE,,,,,,,,,,,,active
"ECOM-66651 ASUS PRIME H610M-D D4 (1700) (D)","ASUS PRIME H610M-D D4 (1700) (D)","ASUS PRIME H610M-D D4 (1700) (D)","ASUS","Electronics","Motherboard ASUS","Electronics,Motherboard ASUS",TRUE,,,,,,,"ECOM-66651",,shopify,3,deny,manual,114.35,,TRUE,TRUE,4711081540489,https://www.nexoc-store.de/shop/media/image/6e/c3/ec/66651_1_600x600..jpg,1,,FALSE,"ASUS PRIME H610M-D D4 (1700) (D)","ASUS PRIME H610M-D D4 (1700) (D)","Electronics",,,,,,,FALSE,,,,,,,,,,,,active
"ECOM-66642 ASUS PRIME H610M-E D4 (1700) (D)","ASUS PRIME H610M-E D4 (1700) (D)","ASUS PRIME H610M-E D4 (1700) (D)","ASUS","Electronics","Motherboard ASUS","Electronics,Motherboard ASUS",TRUE,,,,,,,"ECOM-66642",,shopify,27,deny,manual,112.46,,TRUE,TRUE,4711081514787,https://www.nexoc-store.de/shop/media/image/70/fe/9a/66642_1_600x600..jpg,1,,FALSE,"ASUS PRIME H610M-E D4 (1700) (D)","ASUS PRIME H610M-E D4 (1700) (D)","Electronics",,,,,,,FALSE,,,,,,,,,,,,active
"ECOM-66647 ASUS PRIME H610M-E D4-CSM (1700) (D)","ASUS PRIME H610M-E D4-CSM (1700) (D)","ASUS PRIME H610M-E D4-CSM (1700) (D)","ASUS","Electronics","Motherboard ASUS","Electronics,Motherboard ASUS",TRUE,,,,,,,"ECOM-66647",,shopify,4,deny,manual,120.65,,TRUE,TRUE,4711081514800,https://www.nexoc-store.de/shop/media/image/06/63/a7/66647_1_600x600..jpg,1,,FALSE,"ASUS PRIME H610M-E D4-CSM (1700) (D)","ASUS PRIME H610M-E D4-CSM (1700) (D)","Electronics",,,,,,,FALSE,,,,,,,,,,,,active
